Student_ID,Name,Course,Math,Science,English,Attendance,Total,Percentage,Result,Grade
101,Aman,CS,85,78,90,95,253,84.33333333333334,Pass,A
102,Riya,IT,72,80,75,89,227,75.66666666666667,Pass,B
103,Rohan,CS,91,88,84,98,263,87.66666666666667,Pass,A
104,Priya,EE,65,70,68,85,203,67.66666666666666,Pass,C
105,Arjun,ME,88,76,81,93,245,81.66666666666667,Pass,A
106,Sneha,CS,95,92,94,99,281,93.66666666666667,Pass,A+
107,Rahul,IT,55,60,58,80,173,57.666666666666664,Pass,D
108,Kavya,EE,78,82,79,91,239,79.66666666666666,Pass,B
109,Vikas,ME,69,74,71,87,214,71.33333333333334,Pass,B
110,Neha,CS,84,89,90,96,263,87.66666666666667,Pass,A
111,Aditya,IT,77,73,80,88,230,76.66666666666667,Pass,B
112,Pooja,EE,81,79,83,92,243,81.0,Pass,A
113,Karan,ME,59,65,62,78,186,62.0,Pass,C
114,Anjali,CS,93,95,91,100,279,93.0,Pass,A+
115,Mohit,IT,74,69,72,84,215,71.66666666666667,Pass,B
116,Simran,EE,86,90,88,97,264,88.0,Pass,A
117,Nikhil,ME,67,71,69,86,207,69.0,Pass,C
118,Isha,CS,89,87,92,98,268,89.33333333333333,Pass,A
119,Deepak,IT,62,66,64,82,192,64.0,Pass,C
120,Muskan,EE,90,91,89,99,270,90.0,Pass,A+
